,min,mean,max,std
user_id,1374.0,172819792.54,259356154.0,53731105.6401
od_days,0.0,70.112461724,199.0,73.1516270425
fst_od_days,0.0,70.1001948594,199.0,73.1435432312
label,0.0,0.503869351396,1.0,0.499989667331
ious_amount,0.11,476.256155331,19494.0,664.944284048
pay_amount,1.0,479.741638118,24437.0,675.466512759
type_one,0.0,0.0,0.0,0.0
type_two,0.0,0.0,0.0,0.0
type_three,0.0,0.0,0.0,0.0
type_four,0.0,0.0,0.0,0.0
type_five,0.0,0.0,0.0,0.0
is_app_system,0.0,0.977526213232,1.0,0.148219848132
client_os,-1.0,0.421063375708,2.0,1.34012036558
is_exist_ip,0.0,0.999944325879,1.0,0.00746137081033
is_exist_device_id,0.0,0.981145031085,1.0,0.136013978629
is_credible_device,0.0,0.956611301847,1.0,0.203732396325
client_ip_province_risk1,0.0,0.096780180013,1.0,0.29566095283
client_ip_province_risk2,0.0,0.200575299248,1.0,0.400434544366
client_ip_province_risk3,0.0,0.16846988958,1.0,0.374286502145
client_ip_province_risk4,0.0,0.534156073119,1.0,0.498836627178
is_client_city_code_lower_risk,0.0,0.115245430083,1.0,0.319320862477
is_client_city_code_born,0.0,0.133859144474,1.0,0.340504075732
is_client_city_code_live,0.0,0.270334972627,1.0,0.444136956261
is_client_city_code_contact,0.0,0.280282082212,1.0,0.449141158518
is_client_city_code_dept,0.0,0.289913705113,1.0,0.453726315304
is_client_city_code_arrv,0.0,0.179771736105,1.0,0.3840007754
is_client_city_code_international,0.0,1.85580402709e-05,1.0,0.00430790439436
is_client_city_code_his_dept,0.0,0.651702700195,1.0,0.476435203624
is_client_city_code_his_arrv,0.0,0.644390832328,1.0,0.47870193254
is_client_city_code_two_dept,0.0,0.339482230676,1.0,0.473537968017
is_client_city_code_two_arrv,0.0,0.2301382574,1.0,0.420925085919
is_credible_client_city,0.0,0.0,0.0,0.0
is_dept_code_born,0.0,0.15887538276,1.0,0.365563230568
is_dept_code_live,0.0,0.274176486963,1.0,0.446102492873
is_dept_code_contact,0.0,0.265268627633,1.0,0.441480237245
is_international_dept_city,0.0,0.014178342767,1.0,0.118226802206
is_dept_code_his_dept,0.0,0.99931335251,1.0,0.0261952045147
is_dept_code_his_arrv,0.0,0.941709195509,1.0,0.23429469761
is_dept_code_two_dept,0.0,0.948130277443,1.0,0.221766018873
is_dept_code_two_arrv,0.0,0.542599981442,1.0,0.49818655893
is_credible_dept_city,0.0,0.0,0.0,0.0
is_arrv_code_born,0.0,0.15477405586,1.0,0.361692514828
is_arrv_code_live,0.0,0.251108842906,1.0,0.433655026356
is_arrv_code_contact,0.0,0.242720608704,1.0,0.428731531358
is_international_arrv_city,0.0,0.0155701957873,1.0,0.12380649922
is_arrv_code_his_dept,0.0,0.875141505057,1.0,0.330561460302
is_arrv_code_his_arrv,0.0,0.99929479447,1.0,0.0265465872327
is_arrv_code_two_dept,0.0,0.497188456899,1.0,0.499996734664
is_arrv_code_two_arrv,0.0,0.944455785469,1.0,0.229041542779
is_credible_arrv_city,0.0,0.0,0.0,0.0
is_contact_is_self,0.0,0.881618261112,1.0,0.323062594056
is_credible_guest,0.0,0.982945160991,1.0,0.129476957748
order_before,-1.0,1.4069592651,191.0,5.20110166297
diff_c_order_before,-16.0240360541,11739.7656595,1910000.0,48688.6640301
price,0.11,467.424740095,24437.0,650.871121609
diff_c_amount,-0.996918424367,2838119.73363,244370000.0,5948614.61379
diff_c_busi_amount,-243070000.0,2879813.06391,244370000.0,6618574.42433
unit_price,-8.0,352.112244872,8709.0,413.944166251
diff_c_unit_price,-37934000.0,2459714.15412,87090000.0,4234738.8839
need_bill,-17267.0,0.799888651758,167.0,74.4997663631
level,1.0,1.05951563515,2.0,0.236589439959
dept_time_is_summerholiday,0.0,0.227150412916,1.0,0.418994463938
dept_time_is_winterholiday,0.0,1.85580402709e-05,1.0,0.00430790439436
dept_time_is_weekday,0.0,0.701289783799,1.0,0.457696745229
dept_time_is_weekend,0.0,0.287798088522,1.0,0.452740712421
dept_time_is_long_holiday,0.0,0.000278370604064,1.0,0.0166822743816
dept_time_is_short_holiday,0.0,0.105335436578,1.0,0.306987998656
arrv_time_is_summerholiday,0.0,0.227707154125,1.0,0.419356494763
arrv_time_is_winterholiday,0.0,1.85580402709e-05,1.0,0.00430790439436
arrv_time_is_weekday,0.0,0.680449104575,1.0,0.466306933209
arrv_time_is_weekend,0.0,0.289227057623,1.0,0.453407743535
arrv_time_is_long_holiday,0.0,0.000278370604064,1.0,0.0166822743816
arrv_time_is_short_holiday,0.0,0.10275586898,1.0,0.303642571784
order_hour_risk1,0.0,0.0543379419133,1.0,0.226685428757
order_hour_risk2,0.0,0.48490303424,1.0,0.499776667114
order_hour_risk3,0.0,0.233961213696,1.0,0.423351733524
order_hour_risk4,0.0,0.20339612137,1.0,0.402528441386
diff_c_order_hour,-230000.0,54504.2811566,230000.0,87921.599045
order_week,1.0,3.97453836875,7.0,1.98787742195
order_date,1.0,15.0490674585,31.0,8.71681461214
guest_guest_count,1.0,1.20948315858,9.0,0.584188931325
guest_male_count,0.0,0.434054003897,7.0,0.627732847932
guest_female_count,0.0,0.141820543751,8.0,0.421082719084
guest_avg_age,-1.0,17.5444230217,86.0,17.8890230876
guest_max_age,-1.0,18.2630231048,91.0,18.79810666
guest_min_age,-1.0,16.7839658532,86.0,17.4084006042
guest_has_self,0.0,0.736178899508,1.0,0.440707535479
is_red_eye_flight,-1.0,-0.74590331261,0.0,0.435356265887
event_hour_offset_1,0.0,13.5816089821,23.0,5.30363482174
event_hour_offset_2,0.0,3.04977266401,5.0,1.30761908575
event_hour_offset_3,0.0,2.18975596177,4.0,0.945048959392
event_date_days,1.0,15.0490674585,31.0,8.71681461214
event_date_weekofmonth,1.0,2.60064953141,5.0,1.25704441643
event_date_in_midmonth,0.0,0.561547740559,1.0,0.496202020277
event_date_dayofweek,1.0,3.97453836875,7.0,1.98787742195
event_date_holidaytype,1.0,9.39691936532,34.0,11.4710428731
event_date_weekend,0.0,0.325211097708,1.0,0.468458015463
event_date_checkday,0.0,0.278463394266,1.0,0.448246875169
ious_inloan_orders,-1.0,4.16169620488,67.0,5.28632370032
ious_inloan_od_orders,-1.0,-0.0340168878166,11.0,0.36489705368
ious_inloan_balance,-1.0,1414.35786211,25869.0,2175.92894289
ious_inloan_od_balance,-1.0,4.50025888466,2949.0,52.5774481055
tiqian_repay_count,-1.0,-0.0659367170827,0.0,0.248173748444
normal_repay_count,-1.0,13.4398255544,787.0,23.2609450286
overdue_repay_count,-1.0,2.37980885219,117.0,6.16611298137
tiqian_repay_amount,-1.0,-0.0659367170827,0.0,0.248173748444
normal_repay_amount,-1.0,2738.07043667,273022.0,6510.85372975
overdue_repay_amount,-1.0,389.958067551,35047.5,1058.31203142
tiqian_repay_fine_amount,-1.0,-0.0659367170827,0.0,0.248173748444
normal_repay_fine_amount,-1.0,-0.0659367170827,0.0,0.248173748444
overdue_repay_fine_amount,-1.0,2.57763514893,307.18,9.8309371269
sum_unpay_od_days,-1.0,636.631492994,34733.0,1403.75007143
sum_payed_od_days,-1.0,14.4389718846,2885.0,51.5593302339
sum_od_days,-1.0,655.371068015,35083.0,1421.13653379
max_unpay_od_days,-1.0,62.2306949986,230.0,76.5484565136
max_payed_od_days,-1.0,3.40326621509,228.0,8.36879264847
max_od_days,-1.0,63.0057344344,230.0,76.074884677
ious_order_count,-1.0,20.5477591166,903.0,27.3602876044
ious_term3_order_count,-1.0,0.912647304445,174.0,3.13284374785
ious_term6_order_count,-1.0,0.693235594321,58.0,2.20948072399
ious_term12_order_count,-1.0,1.41222974854,73.0,4.5236495747
ious_order_amount,-1.0,8383.53915858,452180.0,15394.301928
ious_term3_order_amount,-1.0,606.557018651,114257.71,2250.24506187
ious_term6_order_amount,-1.0,518.232472859,58767.8,1718.83305865
ious_term12_order_amount,-1.0,978.68143899,67680.61,3117.59684155
max_loan_amount,-1.0,1244.87549819,19900.0,1351.32091092
avg_loan_amount,-1.0,441.948037487,10295.0,435.806395756
first_loan_days,-1.0,230.842720609,737.0,167.837911973
first_loan_months,-1.0,7.56590888002,24.0,5.61566148352
first_loan_credit_days,-493.0,79.1888651758,654.0,109.817715368
first_loan_credit_months,-16.0,2.58300083511,21.0,3.70115362193
ious_order_avg_hours,-1.0,12.8692400483,23.0,4.48765135117
ious_inloan_od_orders_ratio,-1.0,0.260443537162,100.0,4.60899906502
ious_inloan_balance_ratio,-1.0,0.0410132689988,100.0,3.38648096073
tiqian_repay_count_ratio,-1.0,-0.199925767839,0.0,0.399948026258
normal_repay_count_ratio,-1.0,66.520256101,100.0,41.2563870519
overdue_repay_count_ratio,-1.0,12.8353901828,100.0,24.5742478787
tiqian_repay_amount_ratio,-1.0,-0.199925767839,0.0,0.399948026258
normal_repay_amount_ratio,-1.0,64.8112832885,100.0,41.950862664
overdue_repay_amount_ratio,-1.0,14.4748631345,100.0,26.9317374893
ious_inloan_order_count_ratio,-1.0,28.5416906375,100.0,30.1597254878
ious_term3_order_count_ratio,-1.0,4.70791500418,100.0,12.4976145554
ious_term6_order_count_ratio,-1.0,3.74412174074,100.0,10.6315929608
ious_term12_order_count_ratio,-1.0,7.79181590424,100.0,18.8012416091
ious_term3_order_amount_ratio,-1.0,6.30810058458,100.0,15.5789974436
ious_term6_order_amount_ratio,-1.0,5.60948315858,100.0,14.0751779066
