,std1,mean1,std,mean
is_long_holiday_trip,0.0,0.0,0.00936955735556,8.77886050391e-05
is_for_winterholiday,0.0,0.0,0.0591567449823,0.00351154420156
is_credible_arrv_city,0.0,0.0,0.0,0.0
is_international_city,0.0,0.0,0.00936955735556,8.77886050391e-05
is_credible_dept_city,0.0,0.0,0.0,0.0
is_credible_city,0.126146275874,0.0161687170475,0.127076301203,0.0164164691423
is_high_risk_city,0.167336791364,0.0288224956063,0.165243972353,0.0280923536125
level,0.188566265271,1.03690685413,0.171864092194,1.03046264595
is_international_dept_city,0.196158595975,0.0400702987698,0.183635593127,0.0349398648055
is_credible_guest,0.214870967677,0.951493848858,0.271267048334,0.920024580809
is_international_arrv_city,0.217801699213,0.0499121265378,0.203297992294,0.0431919936792
need_bill,0.234889684458,0.0499121265378,0.329383452683,0.110964796769
is_high_risk_dept_city,0.244745855261,0.0639718804921,0.243976301071,0.0635589500483
is_high_risk_arrv_city,0.255102976981,0.0699472759227,0.250003019401,0.0669827056448
is_credible_device,0.256872927282,0.928998242531,0.387576789877,0.815907295233
is_short_holiday_trip,0.260939553322,0.0734622144112,0.0477230955172,0.00228250373102
is_red_eye_flight,0.279544435326,0.0854130052724,0.251969556701,0.0681239575103
is_arrv_code_born,0.311647679381,0.108963093146,0.312134848796,0.109384601879
is_dept_code_born,0.317298391777,0.113532513181,0.334295192362,0.128171363357
is_client_ip_city_born,0.339488090317,0.132864674868,0.345379125486,0.138442630147
is_arrv_code_live,0.400333742849,0.200351493849,0.419324704147,0.227635852866
is_arrv_code_guest_live,0.403199835321,0.204217926186,0.420177165432,0.228952681942
time_span,0.413005314481,0.0492091388401,0.631613519735,0.0440698797296
is_for_summerholiday,0.415760584825,0.222144112478,0.0,0.0
is_dept_code_live,0.42482353487,0.236203866432,0.449854229621,0.28171363357
is_dept_code_guest_live,0.428688912547,0.242530755712,0.45191643751,0.286015275217
is_client_ip_city_live,0.449490247065,0.280843585237,0.473642308183,0.339741901501
is_for_weekend,0.463442613182,0.312126537786,0.383149263236,0.17873759986
is_client_ip_city_guest_live,0.464852544678,0.315641476274,0.47516258509,0.344306908963
is_for_weekday,0.483945930598,0.626010544815,0.424734888658,0.763848652445
is_contact_self,0.4857226857,0.618980667838,0.492724488755,0.585111052585
guest_count,0.604462684438,1.22565905097,0.727986639808,1.3170046528
male_count,0.627209744783,0.712478031634,0.675212148113,0.740145729084
female_count,0.653084599471,0.508963093146,0.705975555061,0.57194276183
order_month,1.48903274045,5.21230228471,0.83986950096,10.94021596
order_week,1.98872436678,3.91634446397,0.253506193449,0.998770959529
order_hour,5.75645694943,13.8182776801,5.09917434117,13.4583443069
order_before,7.50568946341,3.74833040422,13.4704219708,6.33333333333
order_date,9.11645760766,15.1609841828,1.01859894108,12.9328417171
od_days,44.6194184155,122.360984183,0.0,0.0
fst_od_days,44.7232736855,122.213005272,0.0,0.0
self_ratio,46.775637599,55.8353837141,46.6627494705,51.2180111561
unit_price,626.032071214,866.07991768,441.33148874,711.77123789
price,904.796498202,1072.89033392,836.73039745,967.11895356
diff_c_order_before_seven,7856761.76807,2908320.09464,13483703.6464,5017683.51294
diff_c_order_hour,8936406.15175,9794814.98568,8428293.92038,9374324.7899
user_id,57071826.9671,165645500.812,59416485.4543,149447295.167
diff_c_unit_price_seven,708453881.627,713855380.35,529102303.707,528034107.15
diff_c_price_seven,953213023.541,844731751.816,934659258.184,706878349.994
diff_c_ious_price,963101870.55,816440228.947,942363343.731,704431171.032
diff_c_aboard_price,1004681411.56,800368349.948,1002550684.31,694335615.812
diff_c_busi_price_seven,1026076713.31,762096244.067,989396289.429,664737813.006
diff_c_level_price,1053102829.33,792192246.746,993527876.286,682460299.951
