,std1,mean1,std,mean
flight_stddev_z_price,0.446991952332,0.496780975711,0.413852852947,0.574120872305
user_is_female,0.477779589438,0.352498017446,0.489342435362,0.397284453496
card_debit_bank_count,0.791221772402,1.40549828179,0.815513328162,1.33786829599
log_unknown_37_sum,0.996686901321,0.400740153317,1.06747438393,0.421099796334
avg_repay_fine_amount,1.073347023,0.166433393306,0.761635284517,0.0350010854744
stddev_order_hour,1.07377492857,5.17551428173,0.946116888507,5.1598709096
card_avg_remain_year,1.11837609951,0.620716983047,1.2395677191,0.967394362229
avg_order_hour,1.3822113648,14.069799212,1.19342012605,14.2371063515
stddev_repay_fine_amount,1.44961084578,0.329894814522,0.935073084611,0.0854726920714
card_normal_count,1.5615847801,1.82474226804,1.78236063796,2.27372708758
card_min_remain_year,1.72316666554,0.882269996632,1.80107700633,1.22169491021
card_unbind_count,1.72841348223,0.802802008988,1.22557874009,0.534175152749
card_bind_count,1.83462602314,2.05670103093,2.09674708623,2.64749490835
min_repay_prcp_amount_hindex,1.90925979876,2.44250594766,2.56920147155,3.51986422267
card_max_remain_year,2.15232379623,1.29218783382,2.35962717953,2.01484563234
hotel_avg_pre_order_day,2.97721309507,0.908527311217,3.77927011397,1.58924611679
hotel_stddev_pre_order_day,3.24419784253,1.37687306448,4.37863613942,2.58130161061
train_avg_pre_order_day,4.21608403157,3.15487712173,4.06770343737,3.03925171087
train_stddev_pre_order_day,4.5159516872,2.50547274705,4.69695822947,2.56850059187
max_loan_term,5.05097399227,3.90166534496,4.66557359281,3.85523421589
pay_failed_amount_hindex,5.05137057265,4.7170235263,4.56054586198,4.50615071283
log_u_token_reg_hindex,5.06802581021,3.59978852762,5.80730107553,4.83980991174
ious_overdue_orders,6.14691221613,2.89651070579,3.45404380743,1.27462321792
max_repay_fine_amount,6.15771277944,1.86003700767,3.54303713758,0.5288233537
log_h_ensure_trigger_sum,6.87452477448,3.42162305049,11.6881359551,7.85781398506
log_o_home_block_display_max,7.28459784443,9.81231826593,6.35001188963,8.75266802444
user_age,7.30968571494,29.9328695908,7.29877233439,31.2309693478
user_ip_city_count,7.5224602912,12.0935765266,8.78328966833,13.646598778
order_refund_count_ratio,7.61625775053,8.39611419508,5.33977470483,5.94530889341
contact_avg_age,7.79452605298,32.8117210315,8.6748906534,34.2205815669
flight_avg_pre_order_day,7.90441514657,6.08384639861,9.04348051977,7.77662313892
contact_min_age,7.95963328455,21.4601913059,9.58518736739,19.5115201481
max_ious_overdue_days,8.84601733318,3.92598466825,2.7504805025,0.986042090971
log_unknown_63_max,9.27567141843,4.03621464446,10.8755413675,6.18832315003
ious_overdue_terms,9.53804409958,3.75733544806,4.28392329992,1.48176510523
order_freq,13.1976281608,11.2679090669,17.4687239317,13.7067481331
total_ious_pay_ratio,15.0268133627,20.1122125297,11.3822634141,17.717311609
total_repay_fine_amount,16.3621810581,4.27398228919,5.64082582504,0.91185227427
order_success_amount_ratio,18.4682563271,45.665741475,16.79806895,55.5849287169
pay_success_pay_ratio,19.4676533098,70.3910917261,16.0674825954,78.5057705363
flight_success_amount_ratio,29.6182812376,44.442109437,26.8757576203,55.3408010862
hotel_cancel_amount_ratio,30.078768259,33.1601903251,21.5216687867,26.8902376103
pay_debit_card_count,32.6068423043,21.1337562781,45.1734024534,29.4578139851
hotel_success_count_ratio,32.8694856109,50.3218345229,24.919980692,65.5005838425
repay_normal_count,34.665843952,19.3271213323,54.5525337723,31.391473184
pay_not_enough_balance_count,36.9149095968,19.9904837431,26.7674435811,13.6756551256
log_u_log_count_hindex,42.2718468508,84.9633888448,46.0402519331,107.948540394
od_days,44.8702147409,125.835448057,0.0,0.0
fst_od_days,44.9392793106,125.726539783,0.0,0.0
log_f_list_passenger_sum,47.6248627873,23.0660851176,68.2525598386,33.1690427699
repay_success_count,50.4559902891,34.06740682,70.9213528435,48.9600271555
total_repay_count,54.0437053757,35.5596087761,74.624423561,50.1315953836
total_ious_overdue_days,59.9675512718,17.6197462331,10.7811187526,3.24567549219
pay_bank_count,73.2023442205,46.574147502,109.55735351,73.8177596741
log_u_click_msg_sum,95.1848383024,59.4362939466,107.797712251,66.3209232858
pay_min_price,123.123313736,11.824480571,30.3326878199,4.46006680244
flight_hour,156.234373772,41.1582694511,246.2539884,65.0533695406
ious_req_days,165.476080732,269.504097277,231.127242014,355.519049559
order_count,165.940388895,119.703938673,229.660330551,159.643285811
log_o_show_toast_sum,177.823878234,167.836637589,244.094497952,277.391608961
hotel_avg_ious_amount,240.351712963,155.877561783,351.785417176,267.494493413
train_avg_ious_amount,244.398772035,188.542168959,246.541987192,179.008596027
log_f_search_round_way_sum,271.785365904,68.1132698916,509.376776852,144.489395791
order_avg,289.483715637,344.559097628,283.830198199,400.387085867
ious_active_days,317.398100118,262.21332276,591.156237839,357.893849287
avg_serv_refund_amount,331.859979071,190.359950603,320.348830857,221.393884097
avg_repay_prcp_amount,335.504318231,262.159593647,414.824625688,365.556587328
term_1_avg_ious_amount,409.522433724,376.431413512,457.693301527,465.27153561
hotel_stddev,416.514323551,177.151432627,516.341332093,274.320239437
pay_quick_avg,437.487898623,225.648812408,535.53886381,371.464303123
order_cancel_avg,472.639877566,561.892288883,555.292177744,635.399229509
flight_stddev,507.92051376,426.102585518,678.096788536,581.922008029
log_unknown_60_sum,829.145606937,366.374173936,1131.69892763,657.770074678
user_birth_city,1330.48551843,3952.33359767,1347.0487127,3901.52915139
repay_normal_prcp_amount,7374.10993662,3302.63433122,16321.6842605,7442.0217575
term_1_ious_amount,10945.4036206,5841.05087629,21115.8697542,10556.0068299
total_repay_prcp_amount,11565.9524497,6512.70052472,22126.8439878,12318.0957567
pay_quick_amount,19124.8205384,5302.25283241,86509.3326134,16916.6768424
contact_top1_address_city,21450.6388643,1941.86148559,18408.7863765,2184.63465037
pay_debit_card_amount,23228.2096549,9777.17450831,37828.7633596,17344.9773146
pay_bank_amount,63264.8853138,23528.8141275,121763.546985,45584.2804404
pay_success_amount,75683.4999125,33107.090305,172524.375811,62421.6714448
user_id,52835812.0187,174214387.735,56952123.3574,158191330.505
